"",BBK01.ED0425,BBK01.ED0425_FLAGS
"",German investment abroad / Emerging markets and developing countries / Total / Balance,
unit,DM/Euro,
unit multiplier,million,
last update,2014-06-11 12:03:05,
1971-01,-338.00,
1971-04,97.02,
1971-07,-803.10,
1971-10,-579.66,
1972-01,-198.70,
1972-04,-73.20,
1972-07,547.64,
1972-10,-1487.28,
1973-01,-112.58,
1973-04,-335.24,
1973-07,-495.46,
1973-10,-1146.71,
1974-01,-927.03,
1974-04,-1647.04,
1974-07,-256.46,
1974-10,-3541.87,
1975-01,-2176.37,
1975-04,-3767.18,
1975-07,-1856.76,
1975-10,-3658.41,
1976-01,-3259.57,
1976-04,-2305.28,
1976-07,-536.73,
1976-10,-834.89,
1977-01,-862.00,
1977-04,-1353.96,
1977-07,-2036.32,
1977-10,-1927.44,
1978-01,-1458.27,
1978-04,-1663.85,
1978-07,-64.62,
1978-10,-4726.16,
1979-01,-560.53,
1979-04,-1845.29,
1979-07,358.58,
1979-10,-1623.49,
1980-01,369.08,
1980-04,-293.51,
1980-07,-1390.04,
1980-10,-3487.35,
1981-01,-1392.22,
1981-04,-1791.75,
1981-07,-836.00,
1981-10,-4427.65,
1982-01,-464.91,
1982-04,-3030.74,
1982-07,-861.94,
1982-10,-2151.59,
1983-01,-657.77,
1983-04,-3702.19,
1983-07,-1692.23,
1983-10,-6911.02,
1984-01,520.99,
1984-04,-4552.31,
1984-07,-3452.05,
1984-10,-7624.69,
1985-01,49.81,
1985-04,-2918.34,
1985-07,-1399.23,
1985-10,-6463.88,
1986-01,-36.83,
1986-04,-8658.75,
1986-07,-1542.35,
1986-10,-4223.56,
1987-01,-1846.12,
1987-04,-4084.90,
1987-07,-1456.76,
1987-10,-2745.75,
1988-01,-1297.21,
1988-04,-7952.95,
1988-07,-2457.28,
1988-10,290.08,
1989-01,-2990.35,
1989-04,-4402.24,
1989-07,-2960.36,
1989-10,-9937.20,
1990-01,-2240.32,
1990-04,-2600.66,
1990-07,-6283.65,
1990-10,-4889.08,
1991-01,-3781.76,
1991-04,-1060.29,
1991-07,-3912.69,
1991-10,-8022.12,
1992-01,-9813.87,
1992-04,-3316.59,
1992-07,-2957.58,
1992-10,-12879.82,
1993-01,720.93,
1993-04,-4304.33,
1993-07,-4625.94,
1993-10,-17720.15,
1994-01,349.61,
1994-04,-10613.73,
1994-07,-3198.12,
1994-10,-3996.31,
1995-01,-5734.58,
1995-04,-10617.27,
1995-07,-10062.29,
1995-10,-8490.57,
1996-01,-8709.83,
1996-04,-10326.14,
1996-07,-560.23,
1996-10,-14567.38,
1997-01,-10990.24,
1997-04,-11938.18,
1997-07,-9152.31,
1997-10,-4025.48,
1998-01,-5172.01,
1998-04,-11064.25,
1998-07,-4791.66,
1998-10,-13998.15,
1999-01,2063.97,
1999-04,-2047.83,
1999-07,-4053.19,
1999-10,-10421.07,
2000-01,-5484.31,
2000-04,-8726.99,
2000-07,-8331.37,
2000-10,-7622.45,
2001-01,-3538.09,
2001-04,-5367.59,
2001-07,-310.64,
2001-10,-3495.40,
2002-01,254.08,
2002-04,-12722.62,
2002-07,-10893.06,
2002-10,8655.66,
2003-01,-3445.80,
2003-04,-239.66,
2003-07,9497.02,
2003-10,1453.76,
2004-01,-3931.73,
2004-04,328.06,
2004-07,-1219.69,
2004-10,-8760.78,
2005-01,-3569.72,
2005-04,-26638.52,
2005-07,2338.72,
2005-10,-20950.17,
2006-01,2443.70,
2006-04,-23875.23,
2006-07,-4048.83,
2006-10,-11779.93,
2007-01,-19171.70,
2007-04,-13841.42,
2007-07,-43175.10,
2007-10,-23774.74,
2008-01,4690.40,
2008-04,-14365.18,
2008-07,-18049.79,
2008-10,21517.98,
2009-01,14367.62,
2009-04,-4330.09,
2009-07,1843.80,
2009-10,-6792.21,
2010-01,7951.61,
2010-04,3794.82,
2010-07,-8770.22,
2010-10,-14670.10,
2011-01,-783.56,
2011-04,-6871.15,
2011-07,-9673.57,
2011-10,-3820.22,
2012-01,-9073.33,
2012-04,-835.01,
2012-07,-7135.28,
2012-10,-26838.80,
2013-01,-12453.23,
2013-04,-7066.66,
2013-07,5780.82,
2013-10,-14968.29,
2014-01,-17700.73,
