"",BBK01.ED0376,BBK01.ED0376_FLAGS
"",German investment abroad / Other EU member states / Total / Balance,
unit,DM/Euro,
unit multiplier,million,
last update,2014-06-11 11:55:28,
1971-01,-1135.17,
1971-04,-184.50,
1971-07,255.52,
1971-10,610.53,
1972-01,-797.82,
1972-04,439.63,
1972-07,284.83,
1972-10,1132.80,
1973-01,-212.87,
1973-04,-544.25,
1973-07,-404.20,
1973-10,-1792.36,
1974-01,205.65,
1974-04,-1783.51,
1974-07,-730.94,
1974-10,-1442.31,
1975-01,-273.14,
1975-04,-465.18,
1975-07,-2931.76,
1975-10,-2750.65,
1976-01,584.64,
1976-04,-1450.86,
1976-07,-530.81,
1976-10,-2853.17,
1977-01,110.63,
1977-04,-1829.39,
1977-07,683.28,
1977-10,-2560.98,
1978-01,-185.67,
1978-04,648.18,
1978-07,-151.92,
1978-10,343.77,
1979-01,-1182.96,
1979-04,-1543.49,
1979-07,1395.41,
1979-10,-3124.09,
1980-01,-1255.41,
1980-04,-2905.57,
1980-07,745.10,
1980-10,-5668.89,
1981-01,-3109.79,
1981-04,-999.32,
1981-07,760.08,
1981-10,-4436.84,
1982-01,-5.89,
1982-04,155.96,
1982-07,-1881.80,
1982-10,-1139.56,
1983-01,1899.88,
1983-04,-4711.98,
1983-07,-595.16,
1983-10,-2546.65,
1984-01,-1289.11,
1984-04,68.00,
1984-07,-5933.30,
1984-10,-9100.22,
1985-01,-2810.62,
1985-04,-5090.63,
1985-07,-3019.08,
1985-10,-11095.03,
1986-01,-18363.65,
1986-04,-7525.39,
1986-07,-15260.96,
1986-10,-8500.49,
1987-01,-4254.97,
1987-04,-9085.09,
1987-07,-1514.97,
1987-10,-40.30,
1988-01,-4319.34,
1988-04,-347.24,
1988-07,-10269.61,
1988-10,-9728.50,
1989-01,-14543.92,
1989-04,-15529.56,
1989-07,-6193.63,
1989-10,-24496.66,
1990-01,-23838.45,
1990-04,-3777.28,
1990-07,-6827.74,
1990-10,-17168.36,
1991-01,-7331.10,
1991-04,6900.40,
1991-07,-904.98,
1991-10,-3812.00,
1992-01,-4386.07,
1992-04,-372.20,
1992-07,-5022.56,
1992-10,-22878.98,
1993-01,-18118.67,
1993-04,-19466.02,
1993-07,-12019.99,
1993-10,-47199.32,
1994-01,6801.25,
1994-04,12492.00,
1994-07,8253.77,
1994-10,-34340.39,
1995-01,-2021.06,
1995-04,-24131.73,
1995-07,-10184.33,
1995-10,-5717.14,
1996-01,14346.04,
1996-04,-12450.14,
1996-07,3457.07,
1996-10,-44869.18,
1997-01,-20842.24,
1997-04,-28216.16,
1997-07,-13637.60,
1997-10,-24767.35,
1998-01,-63087.41,
1998-04,-31510.85,
1998-07,20505.08,
1998-10,-9751.04,
1999-01,-27571.40,
1999-04,-10590.38,
1999-07,724.96,
1999-10,-31493.48,
2000-01,-57552.31,
2000-04,-28121.74,
2000-07,-10386.59,
2000-10,25748.96,
2001-01,-41978.45,
2001-04,-8063.86,
2001-07,-41709.35,
2001-10,-9697.60,
2002-01,-5108.67,
2002-04,-28274.26,
2002-07,-36159.63,
2002-10,2178.01,
2003-01,-47470.82,
2003-04,-35089.54,
2003-07,13489.95,
2003-10,-21161.71,
2004-01,-73979.48,
2004-04,8637.80,
2004-07,-39139.04,
2004-10,-12677.69,
2005-01,-65013.23,
2005-04,-8544.85,
2005-07,-12674.25,
2005-10,39906.09,
2006-01,-96816.92,
2006-04,-23850.71,
2006-07,-22118.19,
2006-10,-17470.81,
2007-01,-50944.88,
2007-04,-45055.97,
2007-07,-9884.76,
2007-10,13329.21,
2008-01,-53033.35,
2008-04,9620.95,
2008-07,-28307.70,
2008-10,64553.34,
2009-01,60054.85,
2009-04,-31569.11,
2009-07,30182.71,
2009-10,-4078.66,
2010-01,-23294.00,
2010-04,-7906.57,
2010-07,12783.84,
2010-10,-35782.83,
2011-01,-3482.43,
2011-04,-2990.09,
2011-07,-5333.57,
2011-10,8942.45,
2012-01,-42062.13,
2012-04,4404.85,
2012-07,-31739.80,
2012-10,23486.75,
2013-01,-6212.31,
2013-04,7553.93,
2013-07,17039.81,
2013-10,-27032.53,
2014-01,-32978.93,
