1968-10 13.628 
1968-11 13.129 
1968-12 14.143 
1969-01 13.259 
1969-02 13.216 
1969-03 13.348 
1969-04 13.439 
1969-05 13.650 
1969-06 14.081 
1969-07 13.508 
1969-08 13.480 
1969-09 13.657 
1969-10 14.262 
1969-11 14.373 
1969-12 15.001 
1970-01 13.731 
1970-02 14.102 
1970-03 14.170 
1970-04 14.627 
1970-05 14.450 
1970-06 14.904 
1970-07 14.318 
1970-08 14.554 
1970-09 14.972 
1970-10 15.787 
1970-11 15.948 
1970-12 16.455 
1971-01 15.756 
1971-02 15.930 
1971-03 16.384 
1971-04 16.490 
1971-05 16.680 
1971-06 16.797 
1971-07 16.713 
1971-08 16.963 
1971-09 17.362 
1971-10 17.758 
1971-11 18.106 
1971-12 18.968 
1972-01 18.459 
1972-02 18.366 
1972-03 18.777 
1972-04 18.379 
1972-05 18.652 
1972-06 19.126 
1972-07 19.274 
1972-08 19.609 
1972-09 20.161 
1972-10 19.064 
1972-11 19.563 
1972-12 20.447 
1973-01 19.882 
1973-02 20.383 
1973-03 21.272 
1973-04 19.834 
1973-05 20.106 
1973-06 20.775 
1973-07 19.793 
1973-08 20.431 
1973-09 20.887 
1973-10 21.608 
1973-11 21.277 
1973-12 21.251 
1974-01 21.848 
1974-02 22.463 
1974-03 22.476 
1974-04 22.791 
1974-05 23.058 
1974-06 22.907 
1974-07 22.370 
1974-08 22.610 
1974-09 23.039 
1974-10 23.111 
1974-11 23.336 
1974-12 23.751 
1975-01 22.959 
1975-02 23.558 
1975-03 24.362 
1975-04 24.420 
1975-05 24.419 
1975-06 24.910 
1975-07 24.694 
1975-08 24.962 
1975-09 25.531 
1975-10 26.528 
1975-11 29.901 
1975-12 32.188 
1976-01 31.115 
1976-02 32.222 
1976-03 29.066 
1976-04 29.024 
1976-05 28.255 
1976-06 29.077 
1976-07 29.652 
1976-08 29.930 
1976-09 30.886 
1976-10 31.328 
1976-11 31.367 
1976-12 31.338 
1977-01 31.229 
1977-02 31.426 
1977-03 32.294 
1977-04 32.456 
1977-05 32.417 
1977-06 33.409 
1977-07 33.356 
1977-08 33.264 
1977-09 33.554 
1977-10 34.314 
1977-11 35.868 
1977-12 36.510 
1978-01 34.878 
1978-02 35.192 
1978-03 35.824 
1978-04 35.174 
1978-05 35.675 
1978-06 36.661 
1978-07 36.024 
1978-08 37.607 
1978-09 39.541 
1978-10 38.309 
1978-11 40.463 
1978-12 41.924 
1979-01 40.863 
1979-02 41.787 
1979-03 41.957 
1979-04 42.809 
1979-05 44.414 
1979-06 45.956 
1979-07 45.921 
1979-08 46.646 
1979-09 46.904 
1979-10 47.233 
1979-11 48.564 
1979-12 50.169 
1980-01 49.248 
1980-02 49.980 
1980-03 51.001 
1980-04 52.317 
1980-05 52.636 
1980-06 53.921 
1980-07 53.125 
1980-08 52.961 
1980-09 54.069 
1980-10 55.186 
1980-11 57.052 
1980-12 57.628 
1981-01 58.153 
1981-02 58.437 
1981-03 60.187 
1981-04 59.946 
1981-05 60.870 
1981-06 62.324 
1981-07 64.022 
1981-08 65.500 
1981-09 66.689 
1981-10 67.340 
1981-11 67.341 
1981-12 67.356 
1982-01 66.209 
1982-02 67.500 
1982-03 68.903 
1982-04 74.335 
1982-05 70.163 
1982-06 68.917 
1982-07 69.171 
1982-08 69.796 
1982-09 73.536 
1982-10 73.557 
1982-11 74.437 
1982-12 73.817 
1983-01 73.397 
1983-02 72.471 
1983-03 72.690 
1983-04 72.848 
1983-05 73.077 
1983-06 74.569 
1983-07 73.887 
1983-08 74.531 
1983-09 74.553 
1983-10 77.165 
1983-11 76.265 
1983-12 76.052 
1984-01 75.687 
1984-02 76.295 
1984-03 77.291 
1984-04 76.741 
1984-05 76.984 
1984-06 78.604 
1984-07 79.069 
1984-08 80.437 
1984-09 80.993 
1984-10 81.649 
1984-11 82.686 
1984-12 80.327 
1985-01 78.692 
1985-02 80.773 
1985-03 81.086 
1985-04 80.068 
1985-05 80.810 
1985-06 83.165 
1985-07 82.506 
1985-08 83.685 
1985-09 84.850 
1985-10 85.104 
1985-11 84.965 
1985-12 86.863 
1986-01 86.932 
1986-02 89.155 
1986-03 90.223 
1986-04 89.267 
1986-05 89.383 
1986-06 91.517 
1986-07 90.323 
1986-08 92.440 
1986-09 92.742 
1986-10 92.769 
1986-11 96.067 
1986-12 97.795 
1987-01 97.326 
1987-02 96.671 
1987-03 101.073 
1987-04 99.004 
1987-05 100.071 
1987-06 100.562 
1987-07 99.293 
1987-08 101.431 
1987-09 103.531 
1987-10 102.074 
1987-11 104.003 
1987-12 103.579 
1988-01 103.109 
1988-02 103.642 
1988-03 105.399 
1988-04 103.098 
1988-05 103.249 
1988-06 106.118 
1988-07 106.207 
1988-08 107.761 
1988-09 110.969 
1988-10 109.764 
1988-11 111.863 
1988-12 110.072 
1989-01 111.168 
1989-02 109.215 
1989-03 112.321 
1989-04 114.569 
1989-05 114.281 
1989-06 115.524 
1989-07 113.773 
1989-08 114.419 
1989-09 115.206 
1989-10 116.972 
1989-11 119.188 
1989-12 121.582 
1990-01 123.959 
1990-02 126.899 
1990-03 129.969 
1990-04 128.372 
1990-05 130.790 
1990-06 281.306 
1990-07 279.141 
1990-08 291.849 
1990-09 292.041 
1990-10 288.000 
1990-11 287.985 
1990-12 292.671 
1991-01 287.547 
1991-02 307.407 
1991-03 301.450 
1991-04 301.971 
1991-05 305.830 
1991-06 321.972 
1991-07 314.787 
1991-08 311.329 
1991-09 316.227 
1991-10 316.567 
1991-11 326.513 
1991-12 309.919 
1992-01 331.658 
1992-02 330.046 
1992-03 326.650 
1992-04 331.774 
1992-05 333.614 
1992-06 346.466 
1992-07 330.818 
1992-08 339.539 
1992-09 352.039 
1992-10 339.867 
1992-11 346.829 
1992-12 329.703 
1993-01 326.589 
1993-02 328.651 
1993-03 322.082 
1993-04 324.189 
1993-05 318.307 
1993-06 335.365 
1993-07 330.163 
1993-08 332.327 
1993-09 321.918 
1993-10 322.282 
1993-11 321.821 
1993-12 323.646 
1994-01 328.195 
1994-02 325.238 
1994-03 325.470 
1994-04 322.436 
1994-05 324.094 
1994-06 320.759 
1994-07 320.638 
1994-08 329.975 
1994-09 323.428 
1994-10 330.611 
1994-11 336.413 
