DATE	DJCA
1934-11-01	35.16
1934-11-02	35.56
1934-11-03	35.72
1934-11-05	36.02
1934-11-07	36.70
1934-11-08	36.46
1934-11-09	37.15
1934-11-10	37.18
1934-11-13	36.89
1934-11-14	36.90
1934-11-15	36.97
1934-11-16	36.60
1934-11-17	36.51
1934-11-19	36.60
1934-11-20	36.51
1934-11-21	36.35
1934-11-22	36.56
1934-11-23	37.16
1934-11-24	37.53
1934-11-26	38.02
1934-11-27	37.87
1934-11-28	37.97
1934-11-30	37.90
1934-12-01	37.96
1934-12-03	37.62
1934-12-04	38.08
1934-12-05	38.35
1934-12-06	38.24
1934-12-07	37.97
1934-12-08	37.80
1934-12-10	37.84
1934-12-11	37.15
1934-12-12	37.20
1934-12-13	37.03
1934-12-14	37.01
1934-12-15	37.06
1934-12-17	37.13
1934-12-18	37.14
1934-12-19	36.55
1934-12-20	36.38
1934-12-21	36.41
1934-12-22	36.29
1934-12-24	36.62
1934-12-26	36.35
1934-12-27	36.38
1934-12-28	37.42
1934-12-29	37.72
1934-12-31	37.75
1935-01-02	37.82
1935-01-03	37.98
1935-01-04	37.91
1935-01-05	38.15
1935-01-07	38.32
1935-01-08	38.07
1935-01-09	38.07
1935-01-10	38.14
1935-01-11	37.40
1935-01-12	36.95
1935-01-14	37.10
1935-01-15	36.16
1935-01-16	36.62
1935-01-17	36.71
1935-01-18	36.77
1935-01-19	37.04
1935-01-21	37.16
1935-01-22	36.94
1935-01-23	36.90
1935-01-24	36.77
1935-01-25	36.98
1935-01-26	36.79
1935-01-28	36.33
1935-01-29	36.03
1935-01-30	36.14
1935-01-31	36.37
1935-02-01	36.25
1935-02-02	36.39
1935-02-04	36.13
1935-02-05	35.72
1935-02-06	35.37
1935-02-07	35.68
1935-02-08	36.24
1935-02-09	36.32
1935-02-11	36.16
1935-02-13	36.15
1935-02-14	36.22
1935-02-15	36.18
1935-02-16	36.45
1935-02-18	37.63
1935-02-19	37.01
1935-02-20	36.45
1935-02-21	36.39
1935-02-23	35.74
1935-02-25	35.72
1935-02-26	35.18
1935-02-27	35.42
1935-02-28	35.28
1935-03-01	35.68
1935-03-02	35.61
1935-03-04	35.34
1935-03-05	34.32
1935-03-06	34.24
1935-03-07	34.57
1935-03-08	34.66
1935-03-09	34.46
1935-03-11	33.83
1935-03-12	33.20
1935-03-13	33.31
1935-03-14	32.86
