"Index" "BBDE1.M.DE.N.AEA1.A2P300000.F.C.I10.L" "BBDE1.M.DE.N.BAA1.P2XF00000.G.C.I10.L" "BBDE1.M.DE.W.AEA1.A2P310000.F.V.I10.A" "BBDE1.M.DE.W.AEA1.P2XF00000.B2.V.I10.A" "BBDE1.M.DE.Y.AEA1.A2P300000.F.V.I10.A" "BBDE1.M.DE.Y.AEA1.A2R200050.F.V.I10.A" "BBDE1.M.DE.Y.AEA1.P2XF00000.B2.C.I10.A" "BBDE1.M.DE.Y.AEA1.P2XF02000.B2.V.I10.A" "BBDE1.M.DE.Y.AEB1.A2P310000.F.V.I10.A" "BBDE1.M.DE.Y.AEB1.N2C290000.F.C.I10.A" "BBDE1.M.DE.Y.AEB5.A2P300000.F.V.I10.A" "BBDE1.M.DE.Y.BA01.A2P200000.F.C.I10.A" "BBDE1.M.DE.Y.BAA1.A2P000000.G.C.I10.A" "BBDE1.M.DE.Y.BEA1.P2XF00000.BA.P.ABA.A" "BBDE1.M.DE.Y.JAA9.P2XF50100.C.V.ABA.A" "BBDP1.M.DE.N.APA1.G.GP09SA000000.I10.A" "BBDP1.M.DE.N.VPI.C.A00000.I10.L" "BBDP1.M.DE.Y.APA1.G.GP09SA000000.I10.A" "BBDP1.M.DE.Y.EPL.L.L1A00000000.I10.A" "BBEX3.M.XAU.USD.EA.AC.C06" "BBK01.DU7802" "BBK01.EC7628" "BBK01.ED0361" "BBK01.ED0376" "BBK01.ED0391" "BBK01.ED0425" "BBK01.ED1156" "BBK01.ES4710" "BBK01.EU2001" "BBK01.EU4170" "BBK01.EU4670" "BBK01.EU4680" "BBK01.JB5002" "BBK01.JB5003" "BBK01.JQ5001" "BBK01.JQ5004" "BBK01.JQ5005" "BBK01.JQ5008" "BBK01.OU0092" "BBK01.OU0144" "BBK01.OU0149" "BBK01.OU0337" "BBK01.OU0778" "BBK01.OU1429" "BBK01.OU1825" "BBK01.OUA001" "BBK01.PQ3022" "BBK01.PQ8084" "BBK01.SU0001" "BBK01.SU0041" "BBK01.SU0316G" "BBK01.SUD107" "BBK01.TS5303O" "BBK01.TUB601" "BBK01.TUD317" "BBK01.TUE355" "BBK01.TVE303" "BBK01.TVS303J" "BBK01.TXI355" "BBK01.US02CC" "BBK01.US0CC1" "BBK01.USBA14" "BBK01.UUCY01" "BBK01.WU0028" "BBK01.WU3141" "BBK01.XS7085" "BBK01.XS8891" "BBK01.XU4204" "BBK01.XU4205" "BBK01.XU4206" "BBK01.XX3739"
"1948-06-01" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"1948-07-01" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"1948-08-01" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.00118924802873361 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"1948-09-01" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA -0.704332145017469 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"1948-10-01" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1.88257962948529 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"1948-11-01" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA -2.8208963241561 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA -0.00134829527595984 NA NA NA NA NA NA NA
"1948-12-01" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.471536843392871 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA -0.00142932907982162 NA NA NA NA NA NA NA
"1949-01-01" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA -1.40985353806368 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA -0.0338559412337987 NA NA NA -0.0673523417532443 -0.0559071824185568 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA -0.00134829527595984 NA NA NA NA NA NA NA
"1949-02-01" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.471536843392863 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA -0.0381695259590753 NA NA NA -0.0673523417532443 -0.0559071824185568 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA -0.00934427153566395 NA NA NA NA NA NA NA
"1949-03-01" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.00118924802874196 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA -0.0398393006914404 NA NA NA -0.0673585093565656 -0.0558694995177156 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA -0.00881356879308439 NA NA NA NA NA NA NA
"1949-04-01" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.00118924802873361 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA -0.0388652654308941 NA NA NA -0.0673523417532443 -0.0559071824185568 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA -0.00125105471132569 NA NA NA NA NA NA NA
"1949-05-01" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.236363045710798 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA -0.0338002820760532 NA NA NA -0.0673543976210181 -0.0558946214516097 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA -0.00684238717778889 NA NA NA NA NA NA NA
"1949-06-01" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.00118924802874196 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA -0.0418152007914058 NA NA NA -0.0673523417532443 -0.0559071824185568 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.000612722777495373 NA NA NA NA NA NA NA
"1949-07-01" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA -0.704332145017486 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA -0.0425387698420974 NA NA NA -0.0625177159125899 -0.0527070186919316 -0.068637659319324 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA -0.00274207670238255 NA NA NA NA NA NA NA
"1949-08-01" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.47153684339288 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA -0.035275249756309 NA NA NA -0.0623544373212018 -0.052613326233556 -0.0682073413864531 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA -0.00758789817331732 NA NA NA NA NA NA NA
"1949-09-01" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.471536843392871 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA -0.0366945582788194 NA NA NA -0.0623544373212018 -0.052613326233556 -0.0682073413864531 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA -0.00311483220014676 NA NA NA NA NA NA NA
"1949-10-01" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.471536843392871 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA -0.0394218570083491 NA NA NA -0.0625177159125899 -0.0527070186919316 -0.068637659319324 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA -0.00386034319567518 NA NA NA NA NA NA NA
"1949-11-01" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.236363045710807 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA -0.0354978863872911 NA NA NA -0.0623544373212018 -0.052613326233556 -0.0682073413864531 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA -0.00609687618226046 NA NA NA NA NA NA NA
"1949-12-01" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA -1.17467974038162 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA -0.0400341077435497 NA NA NA -0.0625177159125899 -0.0527070186919316 -0.068637659319324 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA -0.00386034319567518 NA NA NA NA NA NA NA
"1950-01-01" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA -0.93950594269955 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA -0.0458783193068276 NA NA NA -0.0698925132354386 -0.0448420172854493 -0.0821798931465198 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2.19300256962875 -0.00386034319567518 NA NA NA NA NA NA NA
"1950-02-01" NA -0.122588749620184 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.941884438757018 NA NA -0.0702326509460055 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA -0.0403958922688955 NA NA NA -0.0698925132354386 -0.0448420172854493 -0.0821798931465198 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.921961927539688 -0.00311483220014676 NA NA NA -0.021521516163451 -0.109401391936764 0.132397546474535 -0.0212885488618951
