1991,81.93,
1992,86.36,
1993,89.80,
1994,92.03,
1995,93.88,
1996,94.47,
1997,94.72,
1998,95.28,
1999,95.47,
2000,94.83,
2001,95.89,
2002,97.27,
2003,98.33,
2004,99.39,
2005,100.00,
2006,100.31,
2007,101.95,
2008,102.73,
2009,103.94,
2010,105.03,
2011,106.32,
2012,107.87,
2013,110.28,
